ID,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,b_rotR,chiral,FCharge
DBB8103,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.9524,111.19,818.21503,0.95652175,56,0,10,44,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.83636361,1,0
DBB8104,P(=O)(OCC(OC(=O)CCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.7284,111.19,816.19897,0.9130435,56,0,10,43,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.81818181,1,0
DBB8105,P(=O)(OCC(OC(=O)CCCCCCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.5044,111.19,814.18298,0.86956519,56,0,10,42,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.80000001,1,0
DBB8106,P(=O)(OCC(OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.0564,111.19,810.151,0.78260869,56,0,10,40,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.76363635,1,0
DBB8107,P(=O)(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.8324,111.19,808.13501,0.73913044,56,0,10,39,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.74545455,1,0
DBB8108,P(=O)(OCC(OC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.8324,111.19,808.13501,0.73913044,56,0,10,39,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.74545455,1,0
DBB8109,P(=O)(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.6084,111.19,806.11902,0.69565219,56,0,10,38,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.72727275,1,0
DBB8110,P(=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.7284,111.19,816.19897,0.9130435,56,0,10,43,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.81818181,1,0
DBB8111,P(=O)(OCC(OC(=O)CCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.5044,111.19,814.18298,0.86956519,56,0,10,42,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.80000001,1,0
DBB8112,P(=O)(OCC(OC(=O)CCCCCCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,12.2804,111.19,812.16699,0.82608694,56,0,10,41,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.78181821,1,0
DBB8113,P(=O)(OCC(OC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.8324,111.19,808.13501,0.73913044,56,0,10,39,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.74545455,1,0
DBB8114,P(=O)(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.6084,111.19,806.11902,0.69565219,56,0,10,38,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.72727275,1,0
DBB8115,P(=O)(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.3844,111.19,804.10303,0.65217394,56,0,10,37,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.70909089,1,0
DBB8116,P(=O)(OCC(OC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCC=CCCCCCC)(OCC[N+](C)(C)C)[O-],8,0,11.6084,111.19,806.11902,0.69565219,56,0,10,38,0,0,0,0,0,2,0,1,0,0,0,0,1,8,0.72727275,1,0
